species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,MALE
,Biscoe,46.5,14.5,,,FEMALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,49.3,15.7,,5850.0,
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
,Dream,51.7,20.3,,3775.0,MALE
,Biscoe,40.6,18.6,183.0,3550.0,MALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Adelie,Dream,,17.0,190.0,3725.0,MALE
Adelie,Dream,,18.5,186.0,3100.0,FEMALE
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
,Biscoe,39.7,18.9,184.0,3550.0,MALE
Adelie,Torgersen,42.5,,197.0,4500.0,MALE
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
Chinstrap,Dream,46.7,17.9,,,FEMALE
,Dream,51.5,18.7,187.0,3250.0,MALE
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE
Adelie,Biscoe,35.0,,192.0,3725.0,FEMALE
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE
Adelie,Torgersen,39.0,,191.0,3050.0,FEMALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
Adelie,Dream,39.2,18.6,190.0,4250.0,
Chinstrap,Dream,43.5,,202.0,3400.0,FEMALE
,Biscoe,47.6,14.5,215.0,5400.0,MALE
Adelie,Dream,39.7,,193.0,,
Gentoo,,46.4,15.0,,4700.0,
Adelie,Torgersen,39.5,17.4,186.0,3800.0,
,Biscoe,50.0,15.9,224.0,5350.0,MALE
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE
Chinstrap,,43.5,18.1,202.0,3400.0,FEMALE
,Biscoe,48.5,14.1,220.0,5300.0,MALE
,Biscoe,40.6,18.8,193.0,3800.0,MALE
,Biscoe,42.8,,209.0,4700.0,
Chinstrap,,49.7,,195.0,3600.0,MALE
Chinstrap,Dream,50.7,19.7,203.0,,MALE
Gentoo,,43.8,13.9,208.0,4300.0,FEMALE
Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE
Gentoo,Biscoe,,13.5,210.0,4150.0,FEMALE
Adelie,,36.8,18.5,193.0,3500.0,FEMALE
Gentoo,Biscoe,,16.2,222.0,,MALE
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,
,Biscoe,,16.2,222.0,6000.0,MALE
Adelie,,41.5,18.3,195.0,4300.0,MALE
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,
Gentoo,Biscoe,,15.6,221.0,5450.0,MALE
Gentoo,Biscoe,50.4,,222.0,5750.0,MALE
Gentoo,Biscoe,46.5,14.8,217.0,,FEMALE
Adelie,,40.6,,199.0,4000.0,MALE
Gentoo,Biscoe,,14.2,219.0,4700.0,FEMALE
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE
,Biscoe,,14.2,,4700.0,
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE
Adelie,Dream,41.1,18.1,205.0,4300.0,
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE
Adelie,Torgersen,,18.6,,3325.0,MALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Chinstrap,Dream,48.1,,199.0,3325.0,FEMALE
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE
Chinstrap,Dream,49.6,18.2,193.0,3775.0,
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE
Gentoo,Biscoe,50.8,17.3,,5600.0,MALE
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
Chinstrap,Dream,47.6,18.3,195.0,,
Adelie,Dream,37.3,,192.0,3000.0,FEMALE
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,
Gentoo,Biscoe,41.7,14.7,,4700.0,
Chinstrap,Dream,46.9,,,2700.0,FEMALE
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Gentoo,Biscoe,,16.3,220.0,,MALE
Adelie,Dream,37.0,,185.0,3000.0,FEMALE
Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE
Gentoo,,45.1,14.5,,5050.0,FEMALE
Adelie,Torgersen,40.6,,199.0,4000.0,MALE
Chinstrap,Dream,,17.8,193.0,3800.0,FEMALE
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
Adelie,Dream,42.2,18.5,180.0,3550.0,
,Biscoe,45.4,14.6,211.0,4800.0,
Chinstrap,Dream,46.5,17.9,,3500.0,FEMALE
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
Gentoo,,50.8,17.3,228.0,5600.0,MALE
,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
Gentoo,Biscoe,46.2,14.5,,4800.0,FEMALE
Adelie,Torgersen,41.5,18.3,195.0,,MALE
Adelie,,39.8,19.1,184.0,4650.0,MALE
,Biscoe,37.8,18.3,174.0,,FEMALE
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE
Gentoo,Biscoe,49.6,,225.0,5700.0,MALE
Adelie,Dream,35.7,,202.0,3550.0,FEMALE
Adelie,Torgersen,40.6,,199.0,4000.0,MALE
Adelie,Dream,,,195.0,3325.0,FEMALE
Adelie,Dream,42.2,18.5,180.0,,FEMALE
,Dream,58.0,17.8,181.0,3700.0,FEMALE
Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE
Adelie,Dream,42.2,,180.0,3550.0,FEMALE
Chinstrap,,49.5,19.0,200.0,3800.0,MALE
Gentoo,,45.5,13.9,,4200.0,FEMALE
Gentoo,Biscoe,43.3,14.0,,4575.0,FEMALE
Adelie,Dream,32.1,15.5,188.0,3050.0,
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE
Adelie,Biscoe,37.8,18.3,174.0,,FEMALE
Chinstrap,,,16.7,187.0,3350.0,
Chinstrap,Dream,51.3,18.2,197.0,3750.0,
Adelie,Dream,39.6,,190.0,4600.0,MALE
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
Adelie,Biscoe,,17.9,192.0,3725.0,FEMALE
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
Chinstrap,,43.5,18.1,202.0,3400.0,FEMALE
Adelie,,39.5,,188.0,3300.0,FEMALE
Chinstrap,Dream,,17.0,196.0,3500.0,FEMALE
Gentoo,Biscoe,50.1,,225.0,5000.0,MALE
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE
,Torgersen,37.7,19.8,,3500.0,MALE
Chinstrap,Dream,,18.9,195.0,4150.0,
,Dream,45.7,17.0,195.0,3650.0,
Adelie,,42.0,19.5,200.0,,MALE
Gentoo,Biscoe,,13.6,,,FEMALE
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE
,Biscoe,40.6,18.8,193.0,3800.0,MALE
Gentoo,Biscoe,,13.5,210.0,4150.0,FEMALE
Adelie,Dream,43.2,18.5,192.0,,MALE
Adelie,Torgersen,42.8,18.5,195.0,,MALE
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Adelie,Biscoe,38.2,,190.0,3900.0,MALE
Gentoo,Biscoe,59.6,17.0,,,MALE
Gentoo,Biscoe,47.4,,212.0,4725.0,FEMALE
,,45.6,19.4,194.0,3525.0,FEMALE
Chinstrap,,47.6,,,3850.0,
Gentoo,Biscoe,,15.9,224.0,,MALE
,Biscoe,51.3,14.2,218.0,,MALE
Gentoo,Biscoe,46.4,15.0,,4700.0,
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
Adelie,Torgersen,38.8,17.6,191.0,3275.0,
Adelie,Dream,39.5,17.8,,,
,,45.1,14.5,,5050.0,FEMALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Gentoo,,45.5,14.5,212.0,,
Chinstrap,Dream,,17.0,195.0,3650.0,FEMALE
Chinstrap,,49.7,,195.0,3600.0,MALE
Adelie,,36.7,19.3,193.0,3450.0,FEMALE
Adelie,Torgersen,43.1,19.2,197.0,3500.0,
Chinstrap,Dream,52.8,20.0,205.0,4550.0,
Gentoo,Biscoe,,,210.0,4850.0,FEMALE
Adelie,Torgersen,36.2,17.2,187.0,3150.0,
Chinstrap,Dream,,18.2,197.0,3750.0,MALE
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
Chinstrap,Dream,46.6,,193.0,3800.0,FEMALE
Chinstrap,Dream,50.7,,203.0,,MALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE
Gentoo,Biscoe,,14.5,,5000.0,FEMALE
Gentoo,Biscoe,48.5,15.0,,,FEMALE
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE
,Biscoe,48.2,15.6,,5100.0,MALE
Adelie,,39.0,,185.0,,MALE
Gentoo,Biscoe,,,,5500.0,MALE
Adelie,Biscoe,37.8,20.0,190.0,,MALE
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE
Gentoo,,50.0,15.3,220.0,,MALE
,Torgersen,40.3,18.0,195.0,3250.0,FEMALE
Adelie,Dream,,19.3,,3300.0,FEMALE
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE
Gentoo,Biscoe,,,,,
Adelie,Dream,38.1,17.6,187.0,3425.0,
,Dream,41.3,20.3,194.0,3550.0,MALE
Chinstrap,,47.0,17.3,185.0,,FEMALE
Gentoo,Biscoe,43.6,13.9,217.0,,FEMALE
,,,,187.0,2900.0,FEMALE
Adelie,,40.8,18.9,208.0,,MALE
Gentoo,Biscoe,,13.7,213.0,4950.0,FEMALE
Gentoo,,48.5,14.1,220.0,5300.0,
Adelie,Biscoe,35.3,,187.0,3800.0,FEMALE
Adelie,Dream,41.5,,,4000.0,
,Biscoe,42.9,,215.0,,FEMALE
,Torgersen,39.3,20.6,190.0,3650.0,MALE
Gentoo,Biscoe,50.0,,230.0,,MALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE
Gentoo,Biscoe,,14.5,,5000.0,FEMALE
Chinstrap,Dream,50.9,19.1,,3550.0,MALE
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE
Gentoo,Biscoe,,15.3,222.0,5250.0,MALE
,Biscoe,46.6,14.2,210.0,4850.0,FEMALE
,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE
Adelie,Dream,41.1,19.0,182.0,3425.0,
Gentoo,Biscoe,47.5,15.0,,4950.0,FEMALE
Adelie,Dream,32.1,15.5,188.0,3050.0,
Adelie,,40.7,17.0,,3725.0,
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE
Adelie,Dream,41.1,18.1,205.0,,
Adelie,Torgersen,,,,3700.0,FEMALE
Adelie,,39.5,17.8,188.0,3300.0,FEMALE
,Biscoe,40.6,,193.0,3800.0,MALE
Adelie,,40.8,,,4300.0,MALE
Gentoo,Biscoe,40.9,13.7,,4650.0,FEMALE
Adelie,Dream,32.1,15.5,,3050.0,FEMALE
,Biscoe,46.6,14.2,,4850.0,FEMALE
Adelie,,39.8,19.1,184.0,4650.0,MALE
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,
,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
Chinstrap,Dream,,17.5,,3650.0,
,Dream,53.5,19.9,205.0,4500.0,
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE
Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE
Adelie,Dream,40.7,,190.0,3725.0,MALE
Adelie,Biscoe,,18.0,192.0,3950.0,
Chinstrap,Dream,50.2,,198.0,3775.0,FEMALE
,Biscoe,,15.8,215.0,5300.0,MALE
Chinstrap,Dream,,19.4,,3800.0,MALE
Gentoo,Biscoe,49.1,14.8,,5150.0,FEMALE
Chinstrap,,47.5,16.8,199.0,3900.0,
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Adelie,Biscoe,39.7,17.7,,3200.0,FEMALE
Adelie,Dream,41.5,18.5,,4000.0,MALE
Gentoo,Biscoe,,14.6,222.0,,FEMALE
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE
Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE
Adelie,Torgersen,38.6,21.2,191.0,3800.0,
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Adelie,,39.5,17.4,,3800.0,FEMALE
Adelie,Dream,,,190.0,,FEMALE
Adelie,Torgersen,43.1,19.2,197.0,3500.0,
Adelie,Biscoe,36.5,,181.0,2850.0,FEMALE
Adelie,Biscoe,35.0,17.9,190.0,3450.0,
Adelie,Dream,40.8,18.9,,4300.0,MALE
Chinstrap,Dream,51.3,18.2,197.0,,MALE
,,49.8,,198.0,3675.0,FEMALE
,Biscoe,46.8,,215.0,5500.0,MALE
Chinstrap,Dream,,,201.0,4050.0,MALE
,,,16.6,,2900.0,FEMALE
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE
,Dream,51.0,18.8,203.0,4100.0,MALE
Adelie,Dream,35.6,17.5,191.0,,FEMALE
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE
Adelie,,41.5,18.3,195.0,,MALE
Gentoo,Biscoe,46.2,14.1,,4375.0,
Adelie,,38.6,,191.0,3800.0,MALE
Adelie,Torgersen,,,,,
Chinstrap,,55.8,19.8,207.0,4000.0,MALE
Gentoo,,,,221.0,6300.0,MALE
Gentoo,,47.6,14.5,215.0,5400.0,MALE
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE
Adelie,Dream,38.1,17.6,187.0,3425.0,
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,
Adelie,Biscoe,37.7,16.0,,3075.0,FEMALE
Adelie,Torgersen,34.6,17.2,189.0,3200.0,
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
,Dream,41.5,18.5,201.0,,
Adelie,Dream,36.2,17.3,187.0,3300.0,
,Torgersen,34.1,18.1,193.0,3475.0,
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
Gentoo,Biscoe,,14.8,220.0,5150.0,FEMALE
Adelie,Biscoe,35.7,16.9,185.0,,FEMALE
Gentoo,,46.8,16.1,,5500.0,
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
Adelie,,34.1,,193.0,3475.0,
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE
Gentoo,Biscoe,,13.7,214.0,,FEMALE
,Dream,55.8,,207.0,4000.0,MALE
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE
Chinstrap,Dream,52.0,20.7,,,
Adelie,Dream,,18.1,193.0,3750.0,MALE
Adelie,Torgersen,,,,,
Adelie,Dream,34.0,17.1,,,FEMALE
Gentoo,,51.3,14.2,218.0,5300.0,MALE
Chinstrap,,42.5,16.7,187.0,3350.0,FEMALE
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE
Gentoo,,46.5,14.4,217.0,4900.0,
Adelie,Biscoe,,,184.0,3550.0,MALE
Chinstrap,Dream,40.9,16.6,187.0,,FEMALE
Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE
Adelie,Torgersen,39.5,,186.0,,FEMALE
,Dream,36.4,17.0,195.0,3325.0,FEMALE
,Dream,49.2,18.2,195.0,4400.0,MALE
Adelie,Biscoe,38.2,,190.0,3900.0,
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,FEMALE
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
Adelie,Torgersen,37.8,17.3,180.0,3700.0,
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE
Gentoo,Biscoe,50.5,,222.0,,MALE
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,
Gentoo,,46.5,14.4,,4900.0,FEMALE
Gentoo,Biscoe,49.6,15.0,216.0,,
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Chinstrap,,,18.1,202.0,,FEMALE
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,
Adelie,,39.6,17.2,196.0,3550.0,FEMALE
Adelie,,41.3,21.1,195.0,4400.0,
Gentoo,Biscoe,42.0,13.5,,,FEMALE
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,MALE
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
Adelie,,37.9,18.6,172.0,3150.0,FEMALE
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE
,Dream,39.5,,178.0,3250.0,FEMALE
,Biscoe,48.8,16.2,222.0,6000.0,MALE
,Torgersen,34.6,21.1,198.0,4400.0,MALE
,Biscoe,50.0,15.3,,5550.0,MALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE
,Biscoe,47.6,14.5,215.0,5400.0,MALE
Adelie,Dream,36.6,,184.0,3475.0,
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE
Chinstrap,,50.1,17.9,190.0,3400.0,FEMALE
Adelie,,37.6,17.0,185.0,3600.0,FEMALE
Chinstrap,,47.6,,,3850.0,
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,
Adelie,Torgersen,38.8,17.6,191.0,3275.0,
Chinstrap,Dream,,18.2,195.0,4400.0,
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE
Adelie,Dream,37.5,18.9,179.0,2975.0,
Adelie,Dream,,18.5,,,
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
Adelie,Dream,33.1,16.1,,2900.0,FEMALE
Adelie,,41.4,18.5,202.0,3875.0,MALE
Adelie,Dream,40.8,18.9,,4300.0,MALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
Gentoo,Biscoe,,15.0,,4750.0,MALE
Adelie,Biscoe,,,,,FEMALE
,Dream,39.2,21.1,196.0,4150.0,MALE
Gentoo,Biscoe,44.5,,,4100.0,
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,FEMALE
Adelie,Dream,,17.8,,,
Chinstrap,Dream,50.7,19.7,203.0,,MALE
,,54.2,,201.0,,MALE
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
Gentoo,Biscoe,45.5,,214.0,4650.0,
Chinstrap,,,19.4,193.0,3800.0,MALE
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
,,,13.4,209.0,,FEMALE
Gentoo,,,15.0,,4750.0,MALE
Gentoo,Biscoe,45.8,,,4700.0,FEMALE
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE
,Dream,43.2,18.5,192.0,4100.0,
Gentoo,Biscoe,48.2,15.6,,,MALE
Gentoo,Biscoe,,17.1,228.0,5400.0,MALE
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
,,34.5,18.1,187.0,2900.0,FEMALE
,Biscoe,49.8,16.8,230.0,5700.0,MALE
Adelie,Torgersen,37.7,19.8,198.0,,
Adelie,,38.3,,189.0,3950.0,MALE
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE
,Biscoe,46.1,13.2,211.0,,FEMALE
Gentoo,Biscoe,48.2,15.6,221.0,,MALE
Adelie,Dream,,17.1,187.0,3700.0,FEMALE
Gentoo,Biscoe,50.0,15.3,,,MALE
Gentoo,,48.5,14.1,220.0,5300.0,
Chinstrap,Dream,50.5,19.6,201.0,,MALE
,Biscoe,49.6,15.0,216.0,,MALE
,Biscoe,45.1,14.4,210.0,,FEMALE
Chinstrap,Dream,50.2,,198.0,3775.0,FEMALE
Adelie,,,,183.0,,MALE
,,,18.5,196.0,4350.0,MALE
,,46.5,17.9,192.0,,
,Torgersen,40.2,17.0,176.0,3450.0,FEMALE
Adelie,,37.6,19.1,194.0,3750.0,MALE
Gentoo,,43.4,14.4,218.0,4600.0,FEMALE
,Biscoe,50.8,15.7,226.0,5200.0,
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,FEMALE
Chinstrap,,,,,3250.0,MALE
,Biscoe,37.8,18.3,174.0,,FEMALE
Adelie,Dream,40.9,18.9,184.0,,MALE
,Biscoe,52.1,17.0,,5550.0,MALE
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,FEMALE
,Dream,40.8,18.4,,3900.0,
,Biscoe,46.4,15.6,221.0,5000.0,MALE
Adelie,Biscoe,,,190.0,4250.0,MALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Gentoo,Biscoe,40.9,13.7,,4650.0,FEMALE
,Biscoe,46.8,,215.0,,FEMALE
,Biscoe,42.8,,209.0,4700.0,
Gentoo,Biscoe,,,,,
Gentoo,,50.0,16.3,,5700.0,MALE
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Gentoo,,43.5,14.2,220.0,4700.0,FEMALE
Chinstrap,Dream,46.7,17.9,,,FEMALE
Gentoo,Biscoe,49.8,16.8,,5700.0,MALE
Adelie,Biscoe,,21.1,195.0,,MALE
Adelie,Biscoe,42.0,19.5,200.0,4050.0,
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,MALE
Chinstrap,Dream,40.9,16.6,187.0,,FEMALE
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,MALE
Adelie,Torgersen,,,,,
Gentoo,Biscoe,42.0,,210.0,4150.0,FEMALE
Gentoo,,49.1,15.0,228.0,5500.0,MALE
Gentoo,Biscoe,,14.7,214.0,,FEMALE
,Dream,42.4,,181.0,3600.0,FEMALE
Adelie,Dream,,19.3,181.0,3300.0,FEMALE
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
Adelie,,37.7,16.0,,3075.0,FEMALE
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE
Gentoo,Biscoe,,15.3,222.0,5250.0,MALE
,Biscoe,36.5,16.6,181.0,2850.0,FEMALE
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE
,Torgersen,46.0,21.5,194.0,4200.0,MALE
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,FEMALE
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
Gentoo,Biscoe,,14.2,210.0,4850.0,FEMALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,
Gentoo,Biscoe,49.2,15.2,,6300.0,MALE
Chinstrap,Dream,51.3,18.2,,3750.0,MALE
Chinstrap,Dream,45.7,17.0,195.0,3650.0,
Gentoo,Biscoe,50.1,,225.0,5000.0,MALE
Gentoo,Biscoe,43.5,14.2,,4700.0,FEMALE
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE
,Dream,40.7,17.0,,3725.0,MALE
Gentoo,Biscoe,47.6,,215.0,5400.0,MALE
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE
,,50.5,15.9,222.0,5550.0,MALE
Adelie,Dream,40.6,17.2,187.0,3475.0,
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
Chinstrap,,45.2,,,3950.0,FEMALE
Adelie,Dream,41.1,19.0,182.0,,
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
Chinstrap,Dream,49.2,18.2,195.0,,
Gentoo,Biscoe,,14.6,222.0,4875.0,FEMALE
Adelie,Torgersen,,17.6,196.0,,MALE
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE
Adelie,Torgersen,,19.0,195.0,3450.0,FEMALE
,Dream,41.1,17.5,190.0,3900.0,MALE
Gentoo,,46.8,15.4,215.0,5150.0,MALE
Adelie,Torgersen,41.1,18.6,189.0,,MALE
,Dream,36.6,,184.0,3475.0,FEMALE
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
Adelie,Dream,,17.1,187.0,,
Gentoo,,42.8,14.2,,4700.0,
,Biscoe,45.5,15.0,220.0,5000.0,MALE
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,MALE
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
Adelie,,34.4,18.4,,3325.0,FEMALE
Adelie,,35.0,17.9,192.0,3725.0,FEMALE
Adelie,Torgersen,36.7,,193.0,3450.0,FEMALE
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,
Adelie,Torgersen,34.6,21.1,,4400.0,MALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,
Chinstrap,Dream,47.0,17.3,185.0,3700.0,
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE
Adelie,Dream,37.5,18.9,179.0,2975.0,
Adelie,Biscoe,,18.0,192.0,3950.0,
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE
Chinstrap,Dream,45.2,17.8,198.0,3950.0,
Gentoo,Biscoe,,13.3,213.0,5100.0,FEMALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
,Torgersen,,17.6,182.0,3200.0,FEMALE
Gentoo,Biscoe,40.9,13.7,214.0,,FEMALE
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE
,,50.8,15.7,226.0,5200.0,
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
Adelie,Torgersen,41.5,18.3,195.0,,MALE
Adelie,,36.8,18.5,193.0,3500.0,FEMALE
Chinstrap,,51.9,19.5,206.0,3950.0,
Adelie,Torgersen,,17.1,191.0,,FEMALE
Adelie,Dream,39.2,18.6,,4250.0,MALE
Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE
,Dream,49.5,,200.0,3800.0,MALE
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
,,47.7,15.0,216.0,4750.0,FEMALE
,Biscoe,,13.7,208.0,3950.0,FEMALE
